Country,Total hydropower generation
Afghanistan,400
Albania,1527
Algeria,228
Angola,866
Argentina,10118
Armenia,1249
Australia,8790
Austria,13177
Azerbaijan,1116
Bangladesh,230
Belarus,33
Belgium,1427
Benin,1
Bhutan,1615
Bolivia (Plurinational State of),494
Bosnia and Herzegovina,2504
Botswana,0
Brazil,382058
Bulgaria,0
Burkina Faso,32
Burundi,0
Cabo Verde,0
Cambodia,1267
Cameroon,741
Canada,375626
Central African Republic,25
Chad,0
Chile,6622
China,1126400
Colombia,11392
Comoros,1
Congo,209
Costa Rica,1800
C么te d'Ivoire,604
Croatia,2141
Cyprus,0
Czechia,2259
Democratic Republic of the Congo,0
Denmark,9
Djibouti,0
Dominican Republic,543
Ecuador,2413
Egypt,2800
El Salvador,472
Equatorial Guinea,127
Estonia,0
Ethiopia,8
Fiji,125
Finland,3198
France,119
Gabon,170
Gambia,0
Georgia,2727
Germany,11258
Ghana,1584
Greece,3396
Guatemala,991
Guinea,368
Guinea-Bissau,0
Guyana,1
Haiti,61
Honduras,558
Hungary,56
Iceland,1986
India,47057
Indonesia,5258
Iran (Islamic Republic of),11196
Iraq,2753
Ireland,530
Israel,7
Italy,21880
Jamaica,23
Japan,49905
Jordan,12
Kazakhstan,2260
Kenya,818
Kyrgyzstan,3091
Lao People's Democratic Republic,4168
Latvia,1576
Lebanon,221
Lesotho,80
Liberia,0
Libya,0
Lithuania,876
Luxembourg,1134
Madagascar,164
Malawi,364
Malaysia,5472
Maldives,0
Mali,157
Malta,0
Mauritania,97
Mexico,12435
Mongolia,0
Montenegro,658
Morocco,1770
Mozambique,2187
Myanmar,3140
Namibia,341
Nepal,753
Netherlands,37
Nicaragua,123
Niger,0
Nigeria,2040
North Macedonia,5000
Norway,30566
Oman,0
Pakistan,7624
Panama,1655
Papua New Guinea,0
Paraguay,8810
Peru,4190
Philippines,4235
Poland,2351
Portugal,5902
Qatar,0
Republic of Korea,0
Republic of Moldova,0
Romania,6705
Russian Federation,160171
Rwanda,99
Sao Tome and Principe,4
Saudi Arabia,0
Senegal,0
Serbia,2835
Sierra Leone,54
Slovakia,0
Slovenia,0
Solomon Islands,0
Somalia,0
South Africa,2251
South Sudan,6447
Spain,18561
Sri Lanka,1624
Sudan,2250
Suriname,189
Sweden,16184
Switzerland,15635
Syrian Arab Republic,1505
Tajikistan,5190
Thailand,4510
Timor-Leste,0
Togo,65
Tunisia,66
Turkey,25886
Turkmenistan,1
Uganda,706
Ukraine,6785
United Arab Emirates,0
United Kingdom,4443
United Republic of Tanzania,0
United States of America,250148
Uruguay,1538
Uzbekistan,1731
Vanuatu,0
Venezuela (Bolivarian Republic of),15393
Viet Nam,15211
Yemen,0
Zambia,2272
Zimbabwe,765
