Country,Region,Total population,GDP per capita,Total renewable water resources,Total water withdrawal,Total hydropower generation,Total dam capacity
Afghanistan,South Asia,36296.11,563.98,65.33,20.37,400,2.01
Albania,Europe and Central Asia,2884.17,5131.91,30.2,1.13,1527,4.03
Algeria,Middle East and North Africa,41389.19,4136.29,11.67,10.46,228,8.62
Angola,Sub-Saharan Africa,29816.77,3441.27,148.4,0.71,866,9.45
Argentina,Latin America and the Caribbean,43937.14,11601.89,876.24,37.78,10118,131.56
Armenia,Europe and Central Asia,2944.79,4237.39,7.77,2.87,1249,1.39
Australia,East Asia and the Pacific Rim,24584.62,58689.49,492,14.98,8790,77.79
Austria,Europe and Central Asia,8819.9,52047.26,77.7,3.49,13177,2.13
Azerbaijan,Europe and Central Asia,9845.32,4729.9,34.68,12.59,1116,21.54
Bangladesh,South Asia,159685.42,1620.67,1227.03,35.87,230,6.48
Belarus,Europe and Central Asia,9450.23,6312.05,57.9,1.36,33,3.1
Belgium,Europe and Central Asia,11419.75,47225.76,18.3,4.26,1427,0.14
Benin,Sub-Saharan Africa,11175.2,906.49,26.39,0.23,1,0.02
Bhutan,South Asia,745.56,3253.53,78,0.34,1615,0
Bolivia (Plurinational State of),Latin America and the Caribbean,11192.86,3592.08,574,2.09,494,0.6
Bosnia and Herzegovina,Europe and Central Asia,3351.53,5646.25,37.5,1,2504,2.91
Botswana,Sub-Saharan Africa,2205.08,7978.14,12.24,0.2,0,1.11
Brazil,Latin America and the Caribbean,207833.82,8861.53,8647,70.43,382058,700.44
Bulgaria,Europe and Central Asia,7102.44,9407.5,21.3,5.42,0,6.52
Burkina Faso,Sub-Saharan Africa,19193.23,820.17,13.5,0.82,32,5.34
Burundi,Sub-Saharan Africa,10827.02,292.89,12.54,0.28,0,37
Cabo Verde,Sub-Saharan Africa,537.5,3572.55,0.3,0.03,0,0
Cambodia,East Asia and the Pacific Rim,16009.41,1512.51,476.1,2.18,1267,0
Cameroon,Sub-Saharan Africa,24566.07,1567.95,283.15,1.09,741,15.61
Canada,North America,36732.1,46343.37,2902,36.23,375626,841.51
Central African Republic,Sub-Saharan Africa,4596.02,473.5,141,0.07,25,122
Chad,Sub-Saharan Africa,15016.75,741.7,45.7,0.88,0,11
Chile,Latin America and the Caribbean,18470.44,16388.84,923.06,32.37,6622,13.22
China,East Asia and the Pacific Rim,1452625.24,9855.46,2840.22,598.1,1126400,830.46
Colombia,Latin America and the Caribbean,48909.84,6676.03,84.14,1.16,11392,11.28
Comoros,Sub-Saharan Africa,813.89,1400.49,2360,28.34,1,11
Congo,Sub-Saharan Africa,5110.7,2624.72,1.2,0.01,209,0.01
Costa Rica,Latin America and the Caribbean,4949.95,12138.82,832,0.09,1800,2
C么te d'Ivoire,Sub-Saharan Africa,24437.47,1727.63,113,2.43,604,37.24
Croatia,Europe and Central Asia,4182.86,14644.5,105.5,0.73,2141,0.96
Cyprus,Europe and Central Asia,1179.68,28956.96,0.78,0.28,0,0.33
Czechia,Europe and Central Asia,10641.03,23079.54,13.15,1.51,2259,3.18
Democratic Republic of the Congo,Sub-Saharan Africa,81398.76,686.21,77.15,8.66,0,0.05
Denmark,Europe and Central Asia,5732.27,61809.75,1283,0.68,9,0.02
Djibouti,Middle East and North Africa,944.1,3009.41,0.3,0.02,0,78
Dominican Republic,Latin America and the Caribbean,10513.1,7470.24,23.5,9.08,543,2.27
Ecuador,Latin America and the Caribbean,16785.36,6428,442.4,9.92,2413,7.69
Egypt,Middle East and North Africa,96442.59,2513.2,57.5,77.5,2800,168.2
El Salvador,Latin America and the Caribbean,6388.13,4064.06,26.27,2.12,472,3.88
Equatorial Guinea,Sub-Saharan Africa,1262,10141.12,26,0.02,127,99
Estonia,Europe and Central Asia,1319.39,23528.8,12.81,1.01,0,0.18
Ethiopia,Sub-Saharan Africa,106399.92,746.66,122,10.55,8,31.48
Fiji,East Asia and the Pacific Rim,877.46,6069.46,28.55,0.08,125,0.13
Finland,Europe and Central Asia,5511.37,49955.34,110,2.9,3198,18.6
France,Europe and Central Asia,64842.51,41168.65,211,26.85,119,9.98
Gabon,Sub-Saharan Africa,2064.82,8219.38,166,0.14,170,0.22
Gambia,Sub-Saharan Africa,2213.89,754.62,8,0.1,0,31
Georgia,Europe and Central Asia,4008.72,4504.48,63.33,1.57,2727,3.41
Germany,Europe and Central Asia,82658.41,47993.47,154,28.48,11258,4
Ghana,Sub-Saharan Africa,29121.47,2224.26,56.2,1.46,1584,148.5
Greece,Europe and Central Asia,10569.45,19577.78,68.4,10.12,3396,12.32
Guatemala,Latin America and the Caribbean,16914.97,4549.68,127.91,3.32,991,0.46
Guinea,Sub-Saharan Africa,12067.52,891.75,226,0.89,368,1.84
Guinea-Bissau,Sub-Saharan Africa,1828.15,764.9,31.4,0.19,0,0
Guyana,Latin America and the Caribbean,775.22,4880.59,271,1.44,1,0.81
Haiti,Latin America and the Caribbean,10982.37,835.72,14.02,1.45,61,0.3
Honduras,Latin America and the Caribbean,9429.01,2545.34,92.16,1.61,558,5.8
Hungary,Europe and Central Asia,9729.82,16295.33,104,4.35,56,0.26
Iceland,Europe and Central Asia,334.39,76624.49,170,0.28,1986,2.31
India,South Asia,1338676.79,2052.62,1910.9,761,47057,247.46
Indonesia,East Asia and the Pacific Rim,264650.96,3906.27,2018.7,222.64,5258,24
Iran (Islamic Republic of),Middle East and North Africa,80673.88,5768.58,137.05,93.3,11196,44.44
Iraq,Middle East and North Africa,37552.78,5395.86,89.86,56.62,2753,151.8
Ireland,Europe and Central Asia,4753.28,79661.62,52,1.43,530,0.87
Israel,Middle East and North Africa,8243.85,43841.83,1.78,2.32,7,65
Italy,Europe and Central Asia,60673.7,35163.57,191.3,34.19,21880,10.05
Jamaica,Latin America and the Caribbean,2920.85,5421.06,10.82,1.35,23,0.01
Japan,East Asia and the Pacific Rim,127502.73,39087.24,430,79.1,49905,31.47
Jordan,Middle East and North Africa,9785.84,4264.12,0.94,1.1,12,0.27
Kazakhstan,Europe and Central Asia,18080.02,9744.69,108.41,25.03,2260,79.95
Kenya,Sub-Saharan Africa,50221.14,1725.3,30.7,4.03,818,24.79
Kyrgyzstan,Europe and Central Asia,6189.73,1319.57,23.62,7.66,3091,23.57
Lao People's Democratic Republic,East Asia and the Pacific Rim,6953.04,2579.12,333.5,7.35,4168,10.62
Latvia,Europe and Central Asia,1951.1,17837.9,34.94,0.17,1576,1.01
Lebanon,Middle East and North Africa,6819.37,9257.3,4.5,1.84,221,0.23
Lesotho,Sub-Saharan Africa,2091.53,1162.72,3.02,0.04,80,2.87
Liberia,Sub-Saharan Africa,4702.23,437.12,232,0.15,0,0.24
Libya,Middle East and North Africa,6580.72,5312.47,0.7,5.83,0,0.39
Lithuania,Europe and Central Asia,2845.41,18583.57,24.5,0.25,876,0.5
Luxembourg,Europe and Central Asia,591.91,120137.96,3.5,0.05,1134,0.06
Madagascar,Sub-Saharan Africa,25570.51,527.39,337,13.56,164,0.49
Malawi,Sub-Saharan Africa,17670.2,375.49,17.28,1.36,364,0.04
Malaysia,East Asia and the Pacific Rim,31104.65,11190.75,580,5.49,5472,22.45
Maldives,South Asia,496.4,11991.75,0.03,0.01,0,0
Mali,Sub-Saharan Africa,18512.43,898.69,120,5.19,157,13.8
Malta,Middle East and North Africa,437.93,33671.59,0.05,0.06,0,0
Mauritania,Sub-Saharan Africa,4282.57,4028.71,11.4,1.35,97,0.5
Mexico,Latin America and the Caribbean,124777.32,9356.15,461.89,89.35,12435,152.28
Mongolia,East Asia and the Pacific Rim,3113.79,4167.37,34.8,0.46,0,0.25
Montenegro,Europe and Central Asia,627.56,8752.03,1,0.16,658,1.03
Morocco,Middle East and North Africa,35581.26,3258.23,29,10.43,1770,17.96
Mozambique,Sub-Saharan Africa,28649.02,482.06,217.1,1.47,2187,74.14
Myanmar,East Asia and the Pacific Rim,53382.52,1350.74,1167.8,33.39,3140,15.53
Namibia,Sub-Saharan Africa,2402.63,5610.4,39.91,0.29,341,0.71
Nepal,South Asia,27632.68,939.45,210.2,9.5,753,0.09
Netherlands,Europe and Central Asia,17021.35,53505.05,91,8.4,37,9.23
Nicaragua,Latin America and the Caribbean,6384.85,2087.25,164.52,1.54,123,32.01
Niger,Sub-Saharan Africa,21602.38,574.64,34.05,2.58,0,0.09
Nigeria,Sub-Saharan Africa,190873.24,2153.52,286.2,12.48,2040,50.67
