Country & Variable (Combined),Country,Region,M49,Variable,Variables,Unit,Unit,Symbol,Symbol Description,Symbol,2019
"Afghanistan, GDP per capita",Afghanistan,Southern Asia,4,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,563.98 
"Albania, GDP per capita",Albania,Southern Europe,8,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,5131.91 
"Algeria, GDP per capita",Algeria,Northern Africa,12,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,4136.29 
"Andorra, GDP per capita",Andorra,Southern Europe,20,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,42080.56 
"Angola, GDP per capita",Angola,Middle Africa,24,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,3441.27 
"Antigua and Barbuda, GDP per capita",Antigua and Barbuda,Caribbean,28,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,15629.05 
"Argentina, GDP per capita",Argentina,South America,32,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,11601.89 
"Armenia, GDP per capita",Armenia,Western Asia,51,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,4237.39 
"Australia, GDP per capita",Australia,Australia and New Zealand,36,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,58689.49 
"Austria, GDP per capita",Austria,Western Europe,40,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,52047.26 
"Azerbaijan, GDP per capita",Azerbaijan,Western Asia,31,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,4729.90 
"Bahamas, GDP per capita",Bahamas,Caribbean,44,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,31116.87 
"Bahrain, GDP per capita",Bahrain,Western Asia,48,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,24171.33 
"Bangladesh, GDP per capita",Bangladesh,Southern Asia,50,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,1620.67 
"Barbados, GDP per capita",Barbados,Caribbean,52,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,17761.54 
"Belarus, GDP per capita",Belarus,Eastern Europe,112,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,6312.05 
