Country & Variable (Combined),Country,Region,M49,Variable,Variables,Unit,Unit,Symbol,Symbol Description,Symbol,2019
"Afghanistan, Total population",Afghanistan,Southern Asia,4,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,38041.75 
"Albania, Total population",Albania,Southern Europe,8,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,2880.92 
"Algeria, Total population",Algeria,Northern Africa,12,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,43053.05 
"Andorra, Total population",Andorra,Southern Europe,20,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,77.14 
"Angola, Total population",Angola,Middle Africa,24,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,31825.30 
"Antigua and Barbuda, Total population",Antigua and Barbuda,Caribbean,28,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,97.12 
"Argentina, Total population",Argentina,South America,32,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,44780.68 
"Armenia, Total population",Armenia,Western Asia,51,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,2957.73 
"Australia, Total population",Australia,Australia and New Zealand,36,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,25203.20 
"Austria, Total population",Austria,Western Europe,40,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,8955.10 
"Azerbaijan, Total population",Azerbaijan,Western Asia,31,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,10047.72 
"Bahamas, Total population",Bahamas,Caribbean,44,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,389.48 
"Bahrain, Total population",Bahrain,Western Asia,48,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,1641.17 
"Bangladesh, Total population",Bangladesh,Southern Asia,50,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,163046.16 
"Barbados, Total population",Barbados,Caribbean,52,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,287.03 
"Belarus, Total population",Belarus,Eastern Europe,112,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,9452.41 
"Belgium, Total population",Belgium,Western Europe,56,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,11539.33 
"Belize, Total population",Belize,Central America,84,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,390.35 
"Benin, Total population",Benin,Western Africa,204,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,11801.15 
"Bhutan, Total population",Bhutan,Southern Asia,64,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,763.09 
"Bolivia (Plurinational State of), Total population",Bolivia (Plurinational State of),South America,68,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,11513.10 
"Bosnia and Herzegovina, Total population",Bosnia and Herzegovina,Southern Europe,70,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,3301.00 
"Botswana, Total population",Botswana,Southern Africa,72,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,2303.70 
"Brazil, Total population",Brazil,South America,76,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,211049.53 
"Brunei Darussalam, Total population",Brunei Darussalam,South-eastern Asia,96,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,433.29 
"Bulgaria, Total population",Bulgaria,Eastern Europe,100,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,7000.12 
"Burkina Faso, Total population",Burkina Faso,Western Africa,854,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,20321.38 
"Burundi, Total population",Burundi,Eastern Africa,108,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,11530.58 
"Cabo Verde, Total population",Cabo Verde,Western Africa,132,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,549.94 
"Cambodia, Total population",Cambodia,South-eastern Asia,116,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,16486.54 
"Cameroon, Total population",Cameroon,Middle Africa,120,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,25876.38 
"Canada, Total population",Canada,Northern America,124,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,37411.05 
"Central African Republic, Total population",Central African Republic,Middle Africa,140,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,4745.19 
"Chad, Total population",Chad,Middle Africa,148,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,15946.88 
"Chile, Total population",Chile,South America,152,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,18952.04 
"China, Total population",China,Eastern Asia,156,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,1465634.16 
"Colombia, Total population",Colombia,South America,170,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,50339.44 
"Comoros, Total population",Comoros,Eastern Africa,174,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,850.89 
"Congo, Total population",Congo,Middle Africa,178,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,5380.51 
"Cook Islands, Total population",Cook Islands,Polynesia,184,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,17.55 
"Costa Rica, Total population",Costa Rica,Central America,188,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,5047.56 
"Côte d'Ivoire, Total population",Côte d'Ivoire,Western Africa,384,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,25716.54 
"Croatia, Total population",Croatia,Southern Europe,191,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,4130.30 
"Cuba, Total population",Cuba,Caribbean,192,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,11333.48 
"Cyprus, Total population",Cyprus,Western Asia,196,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,1198.58 
"Czechia, Total population",Czechia,Eastern Europe,203,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,10689.21 
"Democratic People's Republic of Korea, Total population",Democratic People's Republic of Korea,Eastern Asia,408,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,25666.16 
"Democratic Republic of the Congo, Total population",Democratic Republic of the Congo,Middle Africa,180,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,86790.57 
"Denmark, Total population",Denmark,Northern Europe,208,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,5771.88 
"Djibouti, Total population",Djibouti,Eastern Africa,262,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,973.56 
"Dominica, Total population",Dominica,Caribbean,212,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,71.81 
"Dominican Republic, Total population",Dominican Republic,Caribbean,214,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,10738.96 
