Country,Poverty Level,Region,Total population,GDP per capita,Total renewable water resources,Total water withdrawal,Total hydropower generation,Total dam capacity,Water resource utilisation,Renewable water resource per capita,Hydropower generation per capita,Dam capacity per capita,Dam storage ratio
Afghanistan,Middle Poverty Country,South Asia,36296.11,563.98,65.33,20.37,400,2.01,0.31,2.1,275,0.5,0.0789
Albania,No Poverty Country,Europe and Central Asia,2884.17,5131.91,30.2,1.13,1527,4.03,0.84,15.98,3273,0.78,0.0622
Algeria,No Poverty Country,Middle East and North Africa,41389.19,4136.29,11.67,10.46,228,8.62,0.9,0.05,50,0.1,0.5364
Angola,Middle Poverty Country,Sub-Saharan Africa,29816.77,3441.27,148.4,0.71,866,9.45,0.1,2.54,74,0.25,0.3
Argentina,No Poverty Country,Latin America and the Caribbean,43937.14,11601.89,876.24,37.78,10118,131.56,0.84,4.95,853,0.29,0.1744
Armenia,No Poverty Country,Europe and Central Asia,2944.79,4237.39,7.77,2.87,1249,1.39,0.77,28.42,2013,1.17,0.0467
Australia,No Poverty Country,East Asia and the Pacific Rim,24584.62,58689.49,492,14.98,8790,77.79,0.83,15.7,423,0.18,0.0529
Austria,No Poverty Country,Europe and Central Asia,8819.9,52047.26,77.7,3.49,13177,2.13,0.84,19.93,5255,1.64,0.0511
Azerbaijan,No Poverty Country,Europe and Central Asia,9845.32,4729.9,34.68,12.59,1116,21.54,0.76,0.65,603,2.1,0.9
Bangladesh,Slightly poor Country,South Asia,159685.42,1620.67,1227.03,35.87,230,6.48,0.33,15.03,105,0.52,0.0188
Belarus,No Poverty Country,Europe and Central Asia,9450.23,6312.05,57.9,1.36,33,3.1,0.82,13.82,95,2.88,0.0822
Belgium,No Poverty Country,Europe and Central Asia,11419.75,47225.76,18.3,4.26,1427,0.14,0.83,52.2,634,2.18,0.0222
Benin,Poor Country,Sub-Saharan Africa,11175.2,906.49,26.39,0.23,1,0.02,0.01,60.76,15,0.08,0.0192
Bhutan,No Poverty Country,South Asia,745.56,3253.53,78,0.34,1615,0,0.8,0.23,10559,0.13,0.0015
Bolivia (Plurinational State of),Slightly poor Country,Latin America and the Caribbean,11192.86,3592.08,574,2.09,494,0.6,0.3,151.5,286,0.23,0.0077
Bosnia and Herzegovina,No Poverty Country,Europe and Central Asia,3351.53,5646.25,37.5,1,2504,2.91,0.83,14.35,4354,0.71,0.0756
Botswana,Middle Poverty Country,Sub-Saharan Africa,2205.08,7978.14,12.24,0.2,0,1.11,0.12,7.66,5,0.55,0.1269
Brazil,No Poverty Country,Latin America and the Caribbean,207833.82,8861.53,8647,70.43,382058,700.44,0.81,16.15,5975,0.18,0.0624
Bulgaria,No Poverty Country,Europe and Central Asia,7102.44,9407.5,21.3,5.42,0,6.52,0.85,4.18,36,1.4,0.2178
Burkina Faso,Poor Country,Sub-Saharan Africa,19193.23,820.17,13.5,0.82,32,5.34,0.06,4,25,0.17,0.2346
Burundi,Poor Country,Sub-Saharan Africa,10827.02,292.89,12.54,0.28,0,37,0.02,0.46,3,0.8,1.1885
Cabo Verde,Slightly poor Country,Sub-Saharan Africa,537.5,3572.55,0.3,0.03,0,0,0.4,0.07,5,0.07,0.0038
Cambodia,Middle Poverty Country,East Asia and the Pacific Rim,16009.41,1512.51,476.1,2.18,1267,0,0.1,168.93,217,0.82,0.0019
Cameroon,Middle Poverty Country,Sub-Saharan Africa,24566.07,1567.95,283.15,1.09,741,15.61,0.1,2.13,76,0.95,0.3731
Canada,No Poverty Country,North America,36732.1,46343.37,2902,36.23,375626,841.51,0.81,23.6,6330,1.12,0.3914
Central African Republic,Poor Country,Sub-Saharan Africa,4596.02,473.5,141,0.07,25,122,0,0.37,38,1.13,1.3346
Chad,Middle Poverty Country,Sub-Saharan Africa,15016.75,741.7,45.7,0.88,0,11,0.12,2.86,7,0.18,0.2923
Chile,No Poverty Country,Latin America and the Caribbean,18470.44,16388.84,923.06,32.37,6622,13.22,0.84,24.35,932,0.58,0.0504
China,No Poverty Country,East Asia and the Pacific Rim,1452625.24,9855.46,2840.22,598.1,1126400,830.46,0.81,7.17,2061,0.24,0.0936
Cmte d'Ivoire,Middle Poverty Country,Sub-Saharan Africa,24437.47,1727.63,84.14,1.16,604,37.24,0.11,42.02,2913,0.7,0.0267
Colombia,No Poverty Country,Latin America and the Caribbean,48909.84,6676.03,2360,28.34,11392,11.28,0.81,25.2,869,0.31,0.0444
Comoros,Middle Poverty Country,Sub-Saharan Africa,813.89,1400.49,1.2,0.01,1,11,0.11,2.66,17,1.16,0.2885
Congo,Poor Country,Sub-Saharan Africa,5110.7,2624.72,832,0.09,209,0.01,0,68.03,93,0.09,0.0154
Costa Rica,No Poverty Country,Latin America and the Caribbean,4949.95,12138.82,113,2.43,1800,2,0.82,80.15,1472,0.64,0.0145
Croatia,No Poverty Country,Europe and Central Asia,4182.86,14644.5,105.5,0.73,2141,0.96,0.81,59,38,2.57,0.0178
Cyprus,No Poverty Country,Europe and Central Asia,1179.68,28956.96,0.78,0.28,0,0.33,0.76,9.2,838,2.49,0.1044
Czechia,No Poverty Country,Europe and Central Asia,10641.03,23079.54,13.15,1.51,2259,3.18,0.71,0.71,68,0.19,0.45
Democratic Republic of the Congo,Poor Country,Sub-Saharan Africa,81398.76,686.21,77.15,8.66,0,0.05,0.11,53.47,6,0.21,0.0231
Denmark,No Poverty Country,Europe and Central Asia,5732.27,61809.75,1283,0.68,9,0.02,0.8,77.67,69,2.02,0.0089
Djibouti,Middle Poverty Country,Middle East and North Africa,944.1,3009.41,0.3,0.02,0,78,0.17,0.02,11,0.17,1.6227
Dominican Republic,No Poverty Country,Latin America and the Caribbean,10513.1,7470.24,23.5,9.08,543,2.27,0.79,70,305,0.73,0.0162
Ecuador,No Poverty Country,Latin America and the Caribbean,16785.36,6428,442.4,9.92,2413,7.69,0.82,33.3,744,0.15,0.035
Egypt,No Poverty Country,Middle East and North Africa,96442.59,2513.2,57.5,77.5,2800,168.2,1.35,0.01,90,0.97,2.2727
